"segment_code","epoch","year","annual_segment_total","denominator","annual_segment_%","series_delta","series_shift","series_delta_%"
"GF05",1230768000000.0,2009,7441.0304110340185,679475.8256400658,1.095113340349463,1244.453793273401,6196.576617760617,20.082924331259775
"GF05",1262304000000.0,2010,7562.0,702234.0,1.0768490275321332,120.96958896598153,7441.0304110340185,1.6257101810335348
"GF05",1293840000000.0,2011,6439.131614944058,686730.057499068,0.9376510529325124,-1122.8683850559419,7562.0,-14.84882815466731
"GF05",1325376000000.0,2012,6515.390439885639,706334.1337588404,0.9224232737009637,76.25882494158122,6439.131614944058,1.1843029386850596
"GF05",1356998400000.0,2013,6013.423211881476,680792.7982464001,0.8832971246715556,-501.9672280041632,6515.390439885639,-7.704330732525891
"GF05",1388534400000.0,2014,7151.693772517352,695392.8783817684,1.0284393175207491,1138.2705606358759,6013.423211881476,18.928828398221693
"GF05",1420070400000.0,2015,6756.552372311957,695609.1502945537,0.9713144758735439,-395.14140020539526,7151.693772517352,-5.5251442913265
"GF05",1451606400000.0,2016,6772.071523817061,689679.7248580637,0.981915413739436,15.519151505103764,6756.552372311957,0.2296903901566802
"GF05",1483228800000.0,2017,6536.75943600918,698917.1762007198,0.9352695367343367,-235.31208780788074,6772.071523817061,-3.474743097149802
"GF05",1514764800000.0,2018,5974.87725412734,707433.189996761,0.8445853740838334,-561.8821818818396,6536.75943600918,-8.595729847217381
"GF05",1546300800000.0,2019,5531.479526899494,715007.3288338899,0.7736255705127975,-443.3977272278462,5974.87725412734,-7.421034916182669
"GF05",1577836800000.0,2020,5601.424178760605,837797.0563308417,0.6685896228010416,69.9446518611112,5531.479526899494,1.2644836073417882
"GF05",1609459200000.0,2021,7753.579039126402,837884.5692343368,0.9253755617210687,2152.1548603657966,5601.424178760605,38.42156551054113
"GF06",788918400000.0,1995,5118.360827445527,423307.088073869,1.2091365752307814,"",7753.579039126402,""
"GF06",820454400000.0,1996,6748.4930945779715,414341.2785615329,1.628728162930493,1630.1322671324442,5118.360827445527,31.848717237585046
"GF06",852076800000.0,1997,4627.442431779738,421170.16571296676,1.0987108794722662,-2121.050662798233,6748.4930945779715,-31.429989377960187
"GF06",883612800000.0,1998,4008.6150456287955,426057.95400142495,0.9408614504155903,-618.8273861509429,4627.442431779738,-13.372989405574055
"GF06",915148800000.0,1999,3860.777339066129,433180.5043689994,0.8912629493079343,-147.83770656266643,4008.6150456287955,-3.687999592873764
"GF06",946684800000.0,2000,3140.0115017282305,450173.74443648465,0.6975110255838692,-720.7658373378986,3860.777339066129,-18.66893047792915
"GF06",978307200000.0,2001,4632.289819687492,472901.52249447966,0.979546395886591,1492.2783179592616,3140.0115017282305,47.52461311488594
"GF06",1009843200000.0,2002,5686.31102588869,501423.0315539717,1.1340346709376536,1054.0212062011979,4632.289819687492,22.753783705880156
"GF06",1041379200000.0,2003,8800.347979448718,537273.6255873066,1.6379638903415086,3114.0369535600275,5686.31102588869,54.76374646730387
"GF06",1072915200000.0,2004,6365.785074968767,564143.7827360097,1.1283976301388448,-2434.5629044799507,8800.347979448718,-27.664393614494998
"GF06",1104537600000.0,2005,8213.145317977258,595271.209238224,1.3797316568506184,1847.3602430084911,6365.785074968767,29.02014788831926
"GF06",1136073600000.0,2006,8442.148837050756,603188.4740736743,1.3995872268639569,229.00351907349796,8213.145317977258,2.7882560238188647
"GF06",1167609600000.0,2007,8545.98663909169,621464.4474668961,1.375136851983301,103.83780204093455,8442.148837050756,1.229992553379455
"GF06",1199145600000.0,2008,7963.779088803089,669750.1009420848,1.1890672472614885,-582.2075502886019,8545.98663909169,-6.8126428799388075
"GF06",1230768000000.0,2009,28345.091989687244,679475.8256400658,4.171611545265232,20381.312900884157,7963.779088803089,255.92514148891783
"GF06",1262304000000.0,2010,33717.0,702234.0,4.801390989328343,5371.908010312756,28345.091989687244,18.95181011325421
"GF06",1293840000000.0,2011,26812.089702007026,686730.057499068,3.9043128241177087,-6904.910297992974,33717.0,-20.479017403662766
"GF06",1325376000000.0,2012,34371.772433164464,706334.1337588404,4.866219936200878,7559.682731157438,26812.089702007026,28.195052363231337
"GF06",1356998400000.0,2013,26844.59367854676,680792.7982464001,3.9431371406533104,-7527.178754617704,34371.772433164464,-21.899303474251205
"GF06",1388534400000.0,2014,30490.517614581735,695392.8783817684,4.384646228407669,3645.9239360349748,26844.59367854676,13.581594788483116
"GF06",1420070400000.0,2015,27928.99673921414,695609.1502945537,4.01504159733777,-2561.5208753675943,30490.517614581735,-8.401040965413381
"GF06",1451606400000.0,2016,22765.648574496005,689679.7248580637,3.300901527760756,-5163.348164718136,27928.99673921414,-18.487410102592253
"GF06",1483228800000.0,2017,24532.714419312695,698917.1762007198,3.5101032360760334,1767.0658448166905,22765.648574496005,7.761983319009442
"GF06",1514764800000.0,2018,28873.015097464064,707433.189996761,4.081376942124564,4340.300678151369,24532.714419312695,17.691889303266777
"GF06",1546300800000.0,2019,29835.267292851,715007.3288338899,4.172721885453892,962.2521953869364,28873.015097464064,3.33270422967171
"GF06",1577836800000.0,2020,36861.40276157362,837797.0563308417,4.399800940219255,7026.135468722619,29835.267292851,23.54976544958319
"GF06",1609459200000.0,2021,26111.043294122606,837884.5692343368,3.1163055452832853,-10750.359467451013,36861.40276157362,-29.16427119441528
"GF07",788918400000.0,1995,59723.95096016304,423307.088073869,14.108894616416379,"",26111.043294122606,""
"GF07",820454400000.0,1996,59343.72306540354,414341.2785615329,14.322426013509185,-380.2278947595041,59723.95096016304,-0.6366422325494223
"GF07",852076800000.0,1997,59773.67201909926,421170.16571296676,14.192285419341843,429.94895369571896,59343.72306540354,0.724506201307704
"GF07",883612800000.0,1998,62799.89529802899,426057.95400142495,14.73975423020009,3026.223278929734,59773.67201909926,5.062803031345935
"GF07",915148800000.0,1999,67172.37799663188,433180.5043689994,15.506786967358977,4372.482698602893,62799.89529802899,6.962563676025947
"GF07",946684800000.0,2000,70192.97556047817,450173.74443648465,15.592418800066593,3020.597563846284,67172.37799663188,4.496785217277466
